Datetime,Longitude,Latitude,Pressure,Temperature
2019-06-02 14:17:46 CEST,-4.471365000,48.313810000,16.055,31.57733
2019-06-02 14:18:24 CEST,-4.473086667,48.314976667,16.077,31.54687
2019-06-02 14:19:02 CEST,-4.474621667,48.315778333,16.062,31.50120
2019-06-02 14:19:42 CEST,-4.474621667,48.315778333,16.055,31.47835
2019-06-02 14:20:23 CEST,-4.475855000,48.316351667,16.064,30.09340
2019-06-02 14:21:01 CEST,-4.476931667,48.316763333,16.065,31.53164
2019-06-02 14:21:39 CEST,-4.476931667,48.316763333,16.080,31.56972
2019-06-02 14:22:17 CEST,-4.479375000,48.317885000,16.096,31.63824
2019-06-02 14:22:54 CEST,-4.479375000,48.317885000,16.103,16.61733
2019-06-02 14:23:38 CEST,-4.480373333,48.318505000,16.113,13.47879
2019-06-02 14:24:16 CEST,-4.482681667,48.319760000,16.131,31.74484
2019-06-02 14:24:55 CEST,-4.482681667,48.319760000,16.148,31.50120
2019-06-02 14:25:33 CEST,-4.483036667,48.319903333,16.167,31.75245
2019-06-02 14:26:10 CEST,-4.484541667,48.320840000,16.186,31.73723
2019-06-02 14:26:48 CEST,-4.484541667,48.320840000,16.197,31.72961
2019-06-02 14:27:26 CEST,-4.485908333,48.321791667,16.206,31.66870
2019-06-02 14:28:04 CEST,-4.487478333,48.322995000,16.202,31.67631
2019-06-02 14:28:42 CEST,-4.487478333,48.322995000,16.165,31.64586
2019-06-02 14:29:20 CEST,-4.489048333,48.323680000,15.849,31.43268
2019-06-02 14:29:58 CEST,-4.489048333,48.323680000,15.822,31.43268
2019-06-02 14:30:42 CEST,-4.491113333,48.324606667,15.814,31.44029
2019-06-02 14:31:21 CEST,-4.491535000,48.325708333,15.750,22.56717
2019-06-02 14:31:59 CEST,-4.491535000,48.325708333,15.791,31.45551
2019-06-02 14:32:38 CEST,-4.491776667,48.326148333,15.808,31.45551
2019-06-02 14:33:16 CEST,-4.492558333,48.327075000,15.799,31.37939
2019-06-02 14:33:54 CEST,-4.492558333,48.327075000,15.763,31.40222
2019-06-02 14:34:32 CEST,0,0,15.751,30.74006
2019-06-02 14:35:10 CEST,-4.493628333,48.328913333,15.583,31.18908
2019-06-02 14:35:48 CEST,-4.493628333,48.328913333,15.643,31.37177
2019-06-02 14:36:26 CEST,-4.493933333,48.329981667,15.771,31.31848
2019-06-02 14:37:03 CEST,-4.494298333,48.330841667,15.794,31.35655
2019-06-02 14:37:42 CEST,-4.494298333,48.330841667,15.801,31.37177
2019-06-02 14:38:19 CEST,-4.494403333,48.331465000,15.816,31.40222
2019-06-02 14:39:03 CEST,-4.494516667,48.332500000,15.814,31.39461
2019-06-02 14:39:41 CEST,-4.494516667,48.332500000,15.848,31.35655
2019-06-02 14:40:19 CEST,-4.494565000,48.333031667,15.833,31.34132
2019-06-02 14:40:59 CEST,-4.494565000,48.333031667,15.834,31.37939
2019-06-02 14:41:38 CEST,-4.495036667,48.334403333,15.861,31.38700
